id,startTime,duration,endTime,totalPausedTime,completed,stopped,type,tags
174,2024-08-21T10:00:00+05:30,3720,2024-08-21T11:02:00+05:30,0,Y,,Work,School 
175,2024-08-21T11:03:00+05:30,7200,2024-08-21T13:03:00+05:30,0,Y,,Work,Test
176,2024-08-21T13:04:00+05:30,7200,2024-08-21T15:04:00+05:30,0,Y,,Work,Test
177,2024-08-21T15:05:00+05:30,7200,2024-08-21T17:05:00+05:30,0,Y,,Work,Test
179,2024-08-22T10:00:00+05:30,7200,2024-08-22T12:00:00+05:30,0,Y,,Work,Maths lecture 
180,2024-08-22T12:00:00+05:30,7200,2024-08-22T14:00:00+05:30,0,Y,,Work,Chemistry lec
181,2024-08-22T14:22:00+05:30,1800,2024-08-22T14:52:00+05:30,0,Y,,Work,Chemistry lec
238,2024-08-22T19:55:00+05:30,7200,2024-08-22T21:55:00+05:30,0,Y,,Work,School 
239,2024-08-23T10:00:00+05:30,7200,2024-08-23T12:00:00+05:30,0,Y,,Work,Maths lecture 
240,2024-08-23T12:00:00+05:30,7200,2024-08-23T14:00:00+05:30,0,Y,,Work,Chemistry practice 
188,2024-08-25T10:00:00+05:30,7200,2024-08-25T12:00:00+05:30,0,Y,,Work,"Chemistry revision ,Phy revision "
189,2024-08-25T12:00:00+05:30,7200,2024-08-25T14:00:00+05:30,0,Y,,Work,Test
190,2024-08-25T14:00:00+05:30,7200,2024-08-25T16:00:00+05:30,0,Y,,Work,Test
191,2024-08-25T16:00:00+05:30,7200,2024-08-25T18:00:00+05:30,0,Y,,Work,Test
185,2024-08-26T19:23:00+05:30,7346,2024-08-26T21:25:26+05:30,0,Y,,Work,Inorganic chemistry (ratta)
186,2024-08-27T00:52:00+05:30,5819,2024-08-27T02:28:59+05:30,0,Y,,Work,Chemistry practice 
187,2024-08-27T03:17:00+05:30,1559,2024-08-27T03:42:59+05:30,0,Y,,Work,Chemistry practice 
192,2024-08-27T10:00:00+05:30,7200,2024-08-27T12:00:00+05:30,0,Y,,Work,Chemistry lec
193,2024-08-27T12:00:00+05:30,7200,2024-08-27T14:00:00+05:30,0,Y,,Work,"Chemistry lec,Maths lecture "
194,2024-08-27T16:40:00+05:30,7200,2024-08-27T18:40:00+05:30,0,Y,,Work,Phy revision 
195,2024-08-27T18:45:00+05:30,1800,2024-08-27T19:15:00+05:30,0,Y,,Work,Phy revision 
196,2024-08-27T22:40:00+05:30,1826,2024-08-27T23:10:26+05:30,0,Y,,Work,Phy revision 
197,2024-08-28T00:55:00+05:30,4142,2024-08-28T02:04:02+05:30,0,Y,,Work,Phy revision 
198,2024-08-28T09:50:00+05:30,2545,2024-08-28T10:32:25+05:30,0,Y,,Work,Phy revision 
199,2024-08-28T11:02:00+05:30,1576,2024-08-28T11:28:16+05:30,0,Y,,Work,Chemistry revision 
202,2024-08-29T04:21:00+05:30,7200,2024-08-29T06:21:00+05:30,0,Y,,Work,Chemistry lec
203,2024-08-29T07:00:00+05:30,3720,2024-08-29T08:02:00+05:30,0,Y,,Work,Chemistry lec
204,2024-08-29T23:25:00+05:30,1942,2024-08-29T23:57:22+05:30,0,Y,,Work,Chemistry revision 
205,2024-08-30T00:05:00+05:30,3342,2024-08-30T01:00:42+05:30,0,Y,,Work,Chemistry revision 
206,2024-08-30T01:26:00+05:30,3544,2024-08-30T02:25:04+05:30,0,Y,,Work,Chemistry practice 
207,2024-08-30T03:02:00+05:30,2349,2024-08-30T03:41:09+05:30,0,Y,,Work,Chemistry practice 
208,2024-08-30T08:26:00+05:30,2259,2024-08-30T09:03:39+05:30,0,Y,,Work,Chemistry revision 
209,2024-08-30T10:00:00+05:30,7200,2024-08-30T12:00:00+05:30,0,Y,,Work,Maths lecture 
210,2024-08-30T12:00:00+05:30,5460,2024-08-30T13:31:00+05:30,0,Y,,Work,Chemistry lec
212,2024-08-30T22:00:00+05:30,5767,2024-08-30T23:36:07+05:30,0,Y,,Work,Maths practice 
213,2024-08-31T10:58:00+05:30,9120,2024-08-31T13:30:00+05:30,0,Y,,Work,Maths practice 
214,2024-08-31T16:58:00+05:30,2039,2024-08-31T17:31:59+05:30,0,Y,,Work,Maths practice 
215,2024-08-31T18:41:00+05:30,4282,2024-08-31T19:52:22+05:30,0,Y,,Work,Phy revision 
216,2024-08-31T22:39:00+05:30,3958,2024-08-31T23:44:58+05:30,0,Y,,Work,Phy revision 
218,2024-09-01T01:00:00+05:30,7200,2024-09-01T03:00:00+05:30,0,Y,,Work,Test
219,2024-09-01T03:00:00+05:30,3600,2024-09-01T04:00:00+05:30,0,Y,,Work,Test
220,2024-09-01T04:00:00+05:30,6720,2024-09-01T05:52:00+05:30,0,Y,,Work,Maths lecture 
217,2024-09-01T05:59:00+05:30,11906,2024-09-01T09:17:26+05:30,0,Y,,Work,Maths revision 
221,2024-09-02T10:00:00+05:30,7200,2024-09-02T12:00:00+05:30,0,Y,,Work,Maths lecture 
222,2024-09-02T12:00:00+05:30,7200,2024-09-02T14:00:00+05:30,0,Y,,Work,Chemistry lec
223,2024-09-02T22:31:00+05:30,4078,2024-09-02T23:38:58+05:30,0,Y,,Work,Maths revision 
225,2024-09-03T10:00:00+05:30,3600,2024-09-03T11:00:00+05:30,0,Y,,Work,Maths lecture 
226,2024-09-03T11:00:00+05:30,7200,2024-09-03T13:00:00+05:30,0,Y,,Work,Chemistry lec
227,2024-09-03T13:00:00+05:30,3600,2024-09-03T14:00:00+05:30,0,Y,,Work,Chemistry lec
228,2024-09-03T16:04:00+05:30,2604,2024-09-03T16:47:24+05:30,0,Y,,Work,Chemistry revision 
229,2024-09-03T20:05:00+05:30,4955,2024-09-03T21:27:35+05:30,0,Y,,Work,Chemistry practice 
230,2024-09-03T21:33:00+05:30,745,2024-09-03T21:45:25+05:30,0,Y,,Work,Chemistry practice 
244,2024-09-03T21:45:00+05:30,3270,2024-09-03T22:39:30+05:30,0,Y,,Work,Chemistry practice 
245,2024-09-04T00:13:00+05:30,2459,2024-09-04T00:53:59+05:30,0,Y,,Work,Chemistry practice 
246,2024-09-04T01:45:00+05:30,567,2024-09-04T01:54:27+05:30,0,Y,,Work,Phy revision 
247,2024-09-04T08:47:00+05:30,7423,2024-09-04T10:50:43+05:30,0,Y,,Work,Phy prac
248,2024-09-04T11:18:00+05:30,1823,2024-09-04T11:48:23+05:30,0,Y,,Work,Phy prac
249,2024-09-04T14:03:00+05:30,6074,2024-09-04T15:44:14+05:30,0,Y,,Work,Maths revision 
250,2024-09-04T16:00:00+05:30,7200,2024-09-04T18:00:00+05:30,0,Y,,Work,Test
251,2024-09-04T18:00:00+05:30,3600,2024-09-04T19:00:00+05:30,0,Y,,Work,Test
252,2024-09-04T23:16:00+05:30,2348,2024-09-04T23:55:08+05:30,0,Y,,Work,Chemistry revision 
253,2024-09-05T06:47:00+05:30,3182,2024-09-05T07:40:02+05:30,0,Y,,Work,Chemistry revision 
254,2024-09-05T10:00:00+05:30,7200,2024-09-05T12:00:00+05:30,0,Y,,Work,Chemistry lec
255,2024-09-06T10:17:00+05:30,6149,2024-09-06T11:59:29+05:30,0,Y,,Work,Maths lecture 
256,2024-09-06T13:51:00+05:30,3213,2024-09-06T14:44:33+05:30,0,Y,,Work,Maths lecture 
257,2024-09-06T18:19:00+05:30,3744,2024-09-06T19:21:24+05:30,0,Y,,Work,Chemistry revision 
258,2024-09-06T20:45:00+05:30,3607,2024-09-06T21:45:07+05:30,0,Y,,Work,Chemistry revision 
262,2024-09-07T10:00:00+05:30,7200,2024-09-07T12:00:00+05:30,0,Y,,Work,Test
260,2024-09-07T12:00:00+05:30,3720,2024-09-07T13:02:00+05:30,0,Y,,Work,Test
263,2024-09-08T10:01:00+05:30,7200,2024-09-08T12:01:00+05:30,0,Y,,Work,Test
264,2024-09-08T12:01:00+05:30,3600,2024-09-08T13:01:00+05:30,0,Y,,Work,Test
261,2024-09-09T06:37:00+05:30,4059,2024-09-09T07:44:39+05:30,0,Y,,Work,Maths revision 
265,2024-09-09T10:00:00+05:30,7200,2024-09-09T12:00:00+05:30,0,Y,,Work,"Maths lecture ,Chemistry lec"
266,2024-09-09T12:00:00+05:30,3540,2024-09-09T12:59:00+05:30,0,Y,,Work,Chemistry practice 
268,2024-09-09T16:13:00+05:30,4868,2024-09-09T17:34:08+05:30,0,Y,,Work,Physic lec
269,2024-09-09T18:00:00+05:30,3697,2024-09-09T19:01:37+05:30,0,Y,,Work,Physic lec
270,2024-09-09T19:02:00+05:30,2244,2024-09-09T19:39:24+05:30,0,Y,,Work,Chemistry lec
271,2024-09-09T22:54:00+05:30,3309,2024-09-09T23:49:09+05:30,0,Y,,Work,Chemistry lec
273,2024-09-10T10:00:00+05:30,7200,2024-09-10T12:00:00+05:30,0,Y,,Work,Maths lecture 
272,2024-09-10T18:21:00+05:30,3044,2024-09-10T19:11:44+05:30,0,Y,,Work,Chemistry lec
